continent,country,country_name,grade_fra_reduced,routes_count
Europe,SVN,Slovenia,8b,22
Europe,SVN,Slovenia,8b+,23
Europe,SVN,Slovenia,8c,10
Europe,SVN,Slovenia,8c+,8
Europe,SVN,Slovenia,9a,3
Europe,SVN,Slovenia,9a+,2
Europe,SWE,Sweden,5a,37
Europe,SWE,Sweden,5b,33
Europe,SWE,Sweden,5c,14
Europe,SWE,Sweden,6a,71
Europe,SWE,Sweden,6a+,36
Europe,SWE,Sweden,6b,60
Europe,SWE,Sweden,6b+,55
Europe,SWE,Sweden,6c,44
Europe,SWE,Sweden,6c+,14
Europe,SWE,Sweden,7a,33
Europe,SWE,Sweden,7a+,18
Europe,SWE,Sweden,7b,28
Europe,SWE,Sweden,7b+,19
Europe,SWE,Sweden,7c,12
Europe,SWE,Sweden,7c+,10
Europe,SWE,Sweden,8a,12
Europe,SWE,Sweden,8a+,6
Europe,SWE,Sweden,8b,4
Europe,UKR,Ukraine,5a,13
Europe,UKR,Ukraine,5b,10
Europe,UKR,Ukraine,5c,5
Europe,UKR,Ukraine,6a,32
Europe,UKR,Ukraine,6a+,24
Europe,UKR,Ukraine,6b,32
Europe,UKR,Ukraine,6b+,25
Europe,UKR,Ukraine,6c,27
Europe,UKR,Ukraine,6c+,19
Europe,UKR,Ukraine,7a,30
Europe,UKR,Ukraine,7a+,26
Europe,UKR,Ukraine,7b,29
Europe,UKR,Ukraine,7b+,23
Europe,UKR,Ukraine,7c,22
Europe,UKR,Ukraine,7c+,10
Europe,UKR,Ukraine,8a,5
Europe,UKR,Ukraine,8a+,14
Europe,UKR,Ukraine,8b,5
Europe,UKR,Ukraine,8b+,2
Europe,UKR,Ukraine,8c,2
Europe,UKR,Ukraine,8c+,1
Europe,UKR,Ukraine,9a,1
Oceania,AUS,Australia,5a,21
Oceania,AUS,Australia,5b,18
Oceania,AUS,Australia,5c,20
Oceania,AUS,Australia,6a,60
Oceania,AUS,Australia,6a+,28
Oceania,AUS,Australia,6b,43
Oceania,AUS,Australia,6b+,40
Oceania,AUS,Australia,6c,59
Oceania,AUS,Australia,6c+,24
Oceania,AUS,Australia,7a,95
Oceania,AUS,Australia,7a+,94
Oceania,AUS,Australia,7b,106
Oceania,AUS,Australia,7b+,78
Oceania,AUS,Australia,7c,56
Oceania,AUS,Australia,7c+,43
Oceania,AUS,Australia,8a,21
Oceania,AUS,Australia,8a+,38
Oceania,AUS,Australia,8b,25
Oceania,AUS,Australia,8b+,19
Oceania,AUS,Australia,8c,10
Oceania,AUS,Australia,8c+,2
Oceania,NZL,New Zealand,5a,22
Oceania,NZL,New Zealand,5b,19
Oceania,NZL,New Zealand,5c,21
Oceania,NZL,New Zealand,6a,32
Oceania,NZL,New Zealand,6a+,15
Oceania,NZL,New Zealand,6b,14
Oceania,NZL,New Zealand,6b+,17
Oceania,NZL,New Zealand,6c,21
Oceania,NZL,New Zealand,6c+,7
Oceania,NZL,New Zealand,7a,42
Oceania,NZL,New Zealand,7a+,49
Oceania,NZL,New Zealand,7b,31
Oceania,NZL,New Zealand,7b+,28
Oceania,NZL,New Zealand,7c,18
Oceania,NZL,New Zealand,7c+,14
Oceania,NZL,New Zealand,8a,8
Oceania,NZL,New Zealand,8a+,6
Oceania,NZL,New Zealand,8b,4
Oceania,NZL,New Zealand,8b+,2
Oceania,NZL,New Zealand,8c,1
